locus_tag,state,FUN,KO,KA,COG,CA,NCBI,baseMean.WT,log2FoldChange.WT,lfcSE.WT,stat.WT,pvalue.WT,padj.WT,WT1IN.WT,WT3IN.WT,WT1NFR5.WT,WT3NFR5.WT,WT1GIFU.WT,WT3GIFU.WT,WT1COL0.WT,WT3COL0.WT,baseMean.NS,log2FoldChange.NS,lfcSE.NS,stat.NS,pvalue.NS,padj.NS,NS1IN.NS,NS3IN.NS,NS1NFR5.NS,NS3NFR5.NS,NS1GIFU.NS,NS3GIFU.NS,NS1COL0.NS,NS3COL0.NS
R7A2020_09175,NS-IN-ES,A,NA,NA,NA,NA,RNA-directed DNA polymerase,278.82277839914127,-0.16195124879139816,0.9090902925610358,5.141063810417279,0.16175442251073344,0.7280994070215625,186.68096734428332,205.98025663200988,123.80316171835615,222.74638877088978,476.31976103103506,627.769211020954,128.94900182027325,258.33347885532856,348.85565299480055,0.23558107080915072,0.9516637259937719,1.7910413314050402,0.6168863803911251,0.9470500474613626,467.1100991355643,323.2408167539117,349.551917400822,187.73032824087537,848.3415392548195,158.552886571653,125.64793765046596,330.6696989502925
R7A2020_09175,WT-IN-ES,A,NA,NA,NA,NA,RNA-directed DNA polymerase,278.82277839914127,-0.16195124879139816,0.9090902925610358,5.141063810417279,0.16175442251073344,0.7280994070215625,186.68096734428332,205.98025663200988,123.80316171835615,222.74638877088978,476.31976103103506,627.769211020954,128.94900182027325,258.33347885532856,348.85565299480055,0.23558107080915072,0.9516637259937719,1.7910413314050402,0.6168863803911251,0.9470500474613626,467.1100991355643,323.2408167539117,349.551917400822,187.73032824087537,848.3415392548195,158.552886571653,125.64793765046596,330.6696989502925
R7A2020_17865,NS-IN-ES,C,K04755,"ferredoxin, 2Fe-2S",C,ferredoxin,(2Fe-2S)-binding protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_17865,WT-IN-ES,C,K04755,"ferredoxin, 2Fe-2S",C,ferredoxin,(2Fe-2S)-binding protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04750,NS-IN-ES,C,K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],C,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04750,WT-IN-ES,C,K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],C,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04745,NS-IN-ES,C,K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],C,E1 component,2-oxoglutarate dehydrogenase E1 component,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04745,WT-IN-ES,C,K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],C,E1 component,2-oxoglutarate dehydrogenase E1 component,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04620,NS-IN-ES,C,K01681,aconitate hydratase [EC:4.2.1.3],C,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,aconitate hydratase AcnA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04620,WT-IN-ES,C,K01681,aconitate hydratase [EC:4.2.1.3],C,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,aconitate hydratase AcnA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_04725,NS-IN-ES,C,K01903,succinyl-CoA synthetase beta subunit [EC:6.2.1.5],C,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit",ADP-forming succinate--CoA ligase subunit beta,6.217175668765174,0.19536109061712856,4.997423793858862,4.494619493928941,0.21277071861675867,0.776027475232229,19.260734725997484,30.476670624123912,0,0,0,0,0,0,48.19380670577974,-4.173761996342457,2.9360430604863073,9.152461379576891,0.027331027095292712,0.3462179917032889,211.75657827478915,146.71923597340674,0,1.0258487882015046,0,6.059345983630052,19.989444626210492,0
