locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00405,R7A2020_00405,0,84419,84607,1,2,0.00617283950617284,189,1,YodC family protein
R7A2020_00425,R7A2020_00425,0,86399,86854,1,2,0.0051413881748072,456,2,periplasmic heavy metal sensor
R7A2020_00985,R7A2020_00985,0,216334,216951,-1,6,0.00569259962049336,618,3,L,D-transpeptidase
R7A2020_01160,R7A2020_01160,0,251924,252892,-1,36,0.00606060606060606,969,5,glycosyltransferase family 2 protein
R7A2020_01215,R7A2020_01215,0,264327,264728,-1,8,0.00584795321637427,402,2,hypothetical protein
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,9,0.00606060606060606,387,2,TIGR02300 family protein
R7A2020_01880,R7A2020_01880,0,414115,414318,-1,1,0.00574712643678161,204,1,DUF680 domain-containing protein
R7A2020_01950,tsaE,0,429386,430897,1,29,0.00622083981337481,1512,8,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02060,rplT,0,451560,451961,1,4,0.00584795321637427,402,2,50S ribosomal protein L20
R7A2020_02155,R7A2020_02155,0,471970,472173,-1,2,0.00574712643678161,204,1,hypothetical protein
R7A2020_02370,R7A2020_02370,0,512880,513098,1,1,0.00531914893617021,219,1,DUF3329 domain-containing protein
R7A2020_02400,R7A2020_02400,0,517784,517999,1,1,0.00540540540540541,216,1,hypothetical protein
R7A2020_02700,R7A2020_02700,0,573098,573280,1,4,0.00641025641025641,183,1,pseudogene
R7A2020_02880,R7A2020_02880,0,607500,607862,-1,4,0.00647249190938511,363,2,DUF805 domain-containing protein
R7A2020_03080,R7A2020_03080,0,643654,643848,-1,2,0.00598802395209581,195,1,hypothetical protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,9,0.00630252100840336,558,3,hypothetical protein
R7A2020_03510,R7A2020_03510,0,740661,741353,-1,10,0.00508474576271186,693,3,glutathione S-transferase family protein
R7A2020_03600,R7A2020_03600,0,754752,755120,-1,7,0.00634920634920635,369,2,YciI family protein
R7A2020_04385,R7A2020_04385,0,918997,919452,-1,19,0.0051413881748072,456,2,winged helix-turn-helix transcriptional regulator
R7A2020_04525,R7A2020_04525,0,943843,944292,-1,11,0.00522193211488251,450,2,hypothetical protein
R7A2020_04975,R7A2020_04975,0,1026293,1026751,-1,14,0.00510204081632653,459,2,Crp/Fnr family transcriptional regulator
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,10,0.0056980056980057,825,4,YmdB family metallophosphoesterase
R7A2020_05985,rpmE,0,1230702,1230923,-1,7,0.00529100529100529,222,1,50S ribosomal protein L31
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,25,0.00518806744487678,906,4,anti-sigma factor
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,28,0.00639386189258312,918,5,polyprenyl synthetase family protein
R7A2020_06705,gap,0,1368052,1369062,-1,20,0.00581395348837209,1011,5,type I glyceraldehyde-3-phosphate dehydrogenase
R7A2020_06760,R7A2020_06760,0,1377423,1377626,-1,15,0.00574712643678161,204,1,hypothetical protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,1,0.00574712643678161,204,1,hypothetical protein
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,3,0.00586510263929619,399,2,GFA family protein
R7A2020_07460,R7A2020_07460,0,1524620,1524988,1,2,0.00634920634920635,369,2,winged helix-turn-helix transcriptional regulator
R7A2020_07595,R7A2020_07595,0,1547959,1548429,1,13,0.00498753117206983,471,2,DUF1348 family protein
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,3,0.00574712643678161,204,1,hypothetical protein
R7A2020_07715,R7A2020_07715,0,1572271,1573851,-1,68,0.00520833333333333,1581,7,iron ABC transporter permease
R7A2020_07975,R7A2020_07975,0,1623082,1624038,1,18,0.00613496932515337,957,5,DUF4167 domain-containing protein
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,4,0.00540540540540541,216,1,hypothetical protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,1,0.00584795321637427,201,1,hypothetical protein
R7A2020_08940,R7A2020_08940,0,1836178,1836603,-1,5,0.00550964187327824,426,2,Hsp20 family protein
R7A2020_09105,R7A2020_09105,0,1866186,1866584,1,4,0.00586510263929619,399,2,hypothetical protein
R7A2020_09670,R7A2020_09670,0,1982680,1983057,-1,4,0.00619195046439629,378,2,hypothetical protein
R7A2020_09800,R7A2020_09800,0,2008595,2009263,-1,18,0.00526315789473684,669,3,DUF1007 family protein
R7A2020_09860,R7A2020_09860,0,2019404,2019787,-1,3,0.00611620795107034,384,2,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,16,0.00549450549450549,642,3,hypothetical protein
R7A2020_10510,R7A2020_10510,0,2156704,2157183,-1,5,0.00490196078431373,480,2,hypothetical protein
R7A2020_10645,R7A2020_10645,0,2184347,2186026,-1,34,0.00490196078431373,1680,7,formate--tetrahydrofolate ligase
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,19,0.00558659217877095,1263,6,CCA tRNA nucleotidyltransferase
R7A2020_10855,R7A2020_10855,0,2227315,2228172,1,14,0.00547195622435021,858,4,cytochrome c1
