locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,7518,0.0990712074303406,1140,96,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,9034,0.112324492979719,753,72,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,7043,0.127764127764128,477,52,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,17853,0.143192488262911,1002,122,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,3074,0.117469879518072,390,39,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,1493,0.0733695652173913,432,27,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,5517,0.0847953216374269,804,58,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,16232,0.0951293759512938,1545,125,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,13512,0.106976744186047,1011,92,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,22,0.00869565217391304,270,2,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,10962,0.107296137339056,1095,100,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,7848,0.0732292917166867,978,61,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,4801,0.0796915167095116,456,31,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,239,0.00902527075812274,651,5,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,1038,0.00589101620029455,1596,8,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,78,0.00905797101449275,648,5,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,544,0.0567375886524823,165,8,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,5419,0.123953098827471,702,74,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,704,0.0420168067226891,420,15,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,6801,0.0686346863468635,1593,93,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,13868,0.143034825870647,945,115,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,12143,0.126543209876543,762,82,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,5804,0.124688279301746,471,50,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,12853,0.101417666303162,1077,93,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,180,0.0164319248826291,501,7,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,11794,0.12541993281075,1050,112,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,23836,0.13511259382819,1410,162,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,5599,0.0807635829662261,801,55,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,2491,0.0924170616113744,495,39,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,11043,0.112886048988285,1104,106,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,12363,0.106753812636166,1080,98,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,16442,0.104992657856094,1602,143,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,3196,0.0990338164251208,486,41,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,4593,0.131578947368421,312,35,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,10636,0.0938924339106655,1290,103,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,3,0.000937207122774133,1254,1,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,27175,0.144301470588235,1278,157,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,21336,0.152734778121775,1140,148,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,20507,0.156970362239297,1071,143,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,49757,0.142252979623222,3060,370,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,10896,0.113207547169811,747,72,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,8691,0.110799438990182,837,79,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,7984,0.0893997445721584,921,70,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,16399,0.12624584717608,1062,114,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,13774,0.0901287553648069,1644,126,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,14329,0.107344632768362,1248,114,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,10547,0.164728682170543,606,85,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,7998,0.10093896713615,1002,86,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,2332,0.0747126436781609,408,26,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,4075,0.13768115942029,324,38,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
