locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00685,R7A2020_00685,0,150372,150680,1,24,0.00378787878787879,309,1,formate dehydrogenase subunit delta
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,39,0.00495049504950495,474,2,DUF805 domain-containing protein
R7A2020_01670,R7A2020_01670,0,367630,368343,-1,11,0.00493421052631579,714,3,CDP-diacylglycerol diphosphatase
R7A2020_01975,R7A2020_01975,0,438926,439207,1,2,0.00416666666666667,282,1,cupin
R7A2020_02480,R7A2020_02480,0,534149,534403,-1,2,0.00458715596330275,255,1,acyl carrier protein
R7A2020_03050,R7A2020_03050,0,637401,637703,1,32,0.00387596899224806,303,1,hypothetical protein
R7A2020_03295,pyrF,0,696530,697243,1,3,0.00493421052631579,714,3,orotidine-5'-phosphate decarboxylase
R7A2020_03475,R7A2020_03475,0,732693,733313,-1,36,0.00378787878787879,621,2,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
R7A2020_04235,R7A2020_04235,0,891281,891556,-1,4,0.00423728813559322,276,1,hypothetical protein
R7A2020_05435,R7A2020_05435,0,1114557,1115435,-1,22,0.00400534045393859,879,3,acid phosphatase
R7A2020_06090,R7A2020_06090,0,1251081,1251614,1,82,0.0043956043956044,534,2,DUF1465 family protein
R7A2020_06115,ruvB,0,1253632,1254669,1,18,0.00452488687782805,1038,4,Holliday junction branch migration DNA helicase RuvB
R7A2020_06450,R7A2020_06450,0,1327653,1328729,-1,73,0.00436205016357688,1077,4,5-(carboxyamino)imidazole ribonucleotide synthase
R7A2020_06715,R7A2020_06715,0,1371530,1371802,1,1,0.00429184549356223,273,1,DUF4164 domain-containing protein
R7A2020_06965,R7A2020_06965,0,1415712,1415957,-1,1,0.00476190476190476,246,1,hypothetical protein
R7A2020_07650,R7A2020_07650,0,1556131,1558737,-1,87,0.0049616599007668,2607,11,TIGR02302 family protein
R7A2020_07720,R7A2020_07720,0,1574027,1575034,-1,140,0.00466200466200466,1008,4,iron ABC transporter substrate-binding protein
R7A2020_07895,grxC,0,1607449,1607718,1,33,0.00434782608695652,270,1,glutaredoxin 3
R7A2020_07950,R7A2020_07950,0,1616950,1617201,-1,1,0.00465116279069767,252,1,hypothetical protein
R7A2020_08540,R7A2020_08540,0,1746005,1746259,1,15,0.00458715596330275,255,1,GlsB/YeaQ/YmgE family stress response membrane protein
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,90,0.00497512437810945,1182,5,ABC transporter permease
R7A2020_08640,R7A2020_08640,0,1773300,1775198,-1,18,0.00433168316831683,1899,7,ABC transporter substrate-binding protein
R7A2020_08725,R7A2020_08725,0,1796879,1797373,1,18,0.004739336492891,495,2,GTP-binding protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,158,0.00414722654224987,2268,8,penicillin-binding protein
