locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00325,R7A2020_00325,0,66722,67585,-1,636,0.0054421768707483,864,4,prephenate dehydratase
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,308,0.00606060606060606,387,2,TIGR02300 family protein
R7A2020_01880,R7A2020_01880,0,414115,414318,-1,22,0.00574712643678161,204,1,DUF680 domain-containing protein
R7A2020_01940,R7A2020_01940,0,425222,426622,1,620,0.00503778337531486,1401,6,adenosylhomocysteinase
R7A2020_02060,rplT,0,451560,451961,1,89,0.00584795321637427,402,2,50S ribosomal protein L20
R7A2020_02225,hisF,0,484861,485655,-1,250,0.00590841949778434,795,4,imidazole glycerol phosphate synthase subunit HisF
R7A2020_02235,hisA,0,486485,487228,-1,17,0.004739336492891,744,3,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
R7A2020_03000,R7A2020_03000,0,628989,629723,1,306,0.00479233226837061,735,3,TetR/AcrR family transcriptional regulator
R7A2020_03535,R7A2020_03535,0,744048,744236,1,21,0.00617283950617284,189,1,hypothetical protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,314,0.00495049504950495,474,2,hypothetical protein
R7A2020_05910,R7A2020_05910,0,1221381,1221575,-1,36,0.00598802395209581,195,1,type II toxin-antitoxin system HicA family toxin
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,322,0.0056980056980057,825,4,YmdB family metallophosphoesterase
R7A2020_06105,R7A2020_06105,0,1252521,1252940,1,417,0.00560224089635854,420,2,type II toxin-antitoxin system VapC family toxin
R7A2020_06110,ruvA,0,1252968,1253588,1,35,0.00568181818181818,621,3,Holliday junction branch migration protein RuvA
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,741,0.00476190476190476,1728,7,hypothetical protein
R7A2020_06420,pyk,0,1322920,1324356,1,505,0.00490596892886345,1437,6,pyruvate kinase
R7A2020_06455,purE,0,1328726,1329223,-1,335,0.00470588235294118,498,2,5-(carboxyamino)imidazole ribonucleotide mutase
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,388,0.00518806744487678,906,4,anti-sigma factor
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,10,0.00574712643678161,204,1,YdcH family protein
R7A2020_06590,R7A2020_06590,0,1350053,1350286,-1,17,0.005,234,1,hypothetical protein
R7A2020_07185,R7A2020_07185,0,1466946,1468166,1,413,0.00578034682080925,1221,6,DUF930 domain-containing protein
R7A2020_07405,R7A2020_07405,0,1513600,1514211,1,114,0.00575815738963532,612,3,shikimate kinase
R7A2020_07565,R7A2020_07565,0,1542543,1543607,-1,1197,0.00551876379690949,1065,5,DUF2125 domain-containing protein
R7A2020_07750,R7A2020_07750,0,1580628,1581377,-1,36,0.00470219435736677,750,3,electron transfer flavoprotein subunit beta/FixA family protein
R7A2020_08680,R7A2020_08680,0,1784387,1784842,-1,8,0.0051413881748072,456,2,cyclic nucleotide-binding domain-containing protein
R7A2020_08740,R7A2020_08740,0,1799721,1799909,1,4,0.00617283950617284,189,1,hypothetical protein
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,127,0.00540540540540541,216,1,hypothetical protein
R7A2020_09135,R7A2020_09135,0,1870056,1870766,-1,90,0.00495867768595041,711,3,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,31,0.00549450549450549,642,3,hypothetical protein
R7A2020_10365,R7A2020_10365,0,2129510,2129743,-1,30,0.005,234,1,hypothetical protein
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,753,0.0048780487804878,723,3,aminoacyl-tRNA hydrolase
R7A2020_11080,R7A2020_11080,0,2261995,2262201,-1,15,0.00564971751412429,207,1,cold-shock protein
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,585,0.00549450549450549,213,1,cold-shock protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,113,0.00522875816993464,900,4,hypothetical protein
R7A2020_12070,R7A2020_12070,0,2464959,2465177,1,6,0.00531914893617021,219,1,hypothetical protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,180,0.00576701268742791,1020,5,YihY/virulence factor BrkB family protein
R7A2020_12375,R7A2020_12375,0,2538869,2539255,1,36,0.00606060606060606,387,2,response regulator
R7A2020_12615,R7A2020_12615,0,2592647,2592871,1,78,0.00520833333333333,225,1,hypothetical protein
R7A2020_12670,R7A2020_12670,0,2600035,2600421,1,55,0.00606060606060606,387,2,ACT domain-containing protein
R7A2020_12875,arsC,0,2632870,2633292,1,918,0.00555555555555556,423,2,arsenate reductase (glutaredoxin)
R7A2020_13055,R7A2020_13055,0,2663537,2664985,-1,248,0.0048661800486618,1449,6,hypothetical protein
R7A2020_14265,R7A2020_14265,0,2907827,2908066,1,70,0.00490196078431373,240,1,hypothetical protein
R7A2020_14985,R7A2020_14985,0,3054908,3055324,1,128,0.00561797752808989,417,2,GFA family protein
R7A2020_15395,R7A2020_15395,0,3145718,3145963,-1,18,0.00476190476190476,246,1,hypothetical protein
R7A2020_15610,miaA,0,3182932,3183897,1,97,0.0048661800486618,966,4,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
R7A2020_16415,R7A2020_16415,0,3351670,3352299,-1,264,0.00559701492537313,630,3,DUF1638 domain-containing protein
R7A2020_17145,R7A2020_17145,0,3506125,3506505,1,85,0.00617283950617284,381,2,cytochrome c family protein
R7A2020_17695,R7A2020_17695,0,3630541,3631287,1,750,0.00471698113207547,747,3,cytochrome c biogenesis protein CcdA
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,772,0.00513259195893926,1374,6,glutamate--tRNA ligase
R7A2020_18240,R7A2020_18240,0,3751555,3751788,-1,17,0.005,234,1,pseudogene
R7A2020_18285,R7A2020_18285,0,3761260,3762240,-1,663,0.00479616306954436,981,4,aspartate carbamoyltransferase catalytic subunit
R7A2020_18790,R7A2020_18790,0,3878986,3879477,1,548,0.00477326968973747,492,2,Lrp/AsnC family transcriptional regulator
R7A2020_19145,R7A2020_19145,0,3943212,3943805,-1,135,0.00592885375494071,594,3,histidine phosphatase family protein
R7A2020_19165,hfq,0,3947522,3947767,-1,30,0.00476190476190476,246,1,RNA chaperone Hfq
R7A2020_19280,R7A2020_19280,0,3970655,3970858,-1,127,0.00574712643678161,204,1,dodecin domain-containing protein
R7A2020_19950,aroQ,0,4096964,4097398,1,19,0.00539083557951483,435,2,type II 3-dehydroquinate dehydratase
R7A2020_20490,purQ,0,4187702,4188370,1,237,0.00526315789473684,669,3,phosphoribosylformylglycinamidine synthase subunit PurQ
R7A2020_20655,R7A2020_20655,0,4216318,4216710,-1,280,0.00597014925373134,393,2,SUF system Fe-S cluster assembly protein
R7A2020_20850,R7A2020_20850,0,4255004,4256047,1,63,0.00563063063063063,1044,5,hypothetical protein
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,307,0.00490677134445535,1197,5,SAVED domain-containing protein
R7A2020_20955,R7A2020_20955,0,4280199,4280948,-1,195,0.00470219435736677,750,3,hypothetical protein
R7A2020_21400,R7A2020_21400,0,4364996,4366249,-1,231,0.0056232427366448,1254,6,murein L,D-transpeptidase
R7A2020_21615,R7A2020_21615,0,4406095,4406892,-1,781,0.00588235294117647,798,4,RlmE family RNA methyltransferase
R7A2020_21700,R7A2020_21700,0,4423049,4423813,-1,406,0.00614439324116743,765,4,heme ABC transporter permease
R7A2020_22500,R7A2020_22500,0,4586437,4586670,-1,49,0.005,234,1,pseudogene
R7A2020_22515,R7A2020_22515,0,4587949,4588137,1,4,0.00617283950617284,189,1,DUF3606 domain-containing protein
R7A2020_22520,R7A2020_22520,0,4588322,4588525,1,9,0.00574712643678161,204,1,hypothetical protein
R7A2020_23010,R7A2020_23010,0,4665211,4665414,-1,6,0.00574712643678161,204,1,hypothetical protein
