locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00950,R7A2020_00950,0,206902,209703,1,142,0.00629722921914358,2802,15,[protein-PII] uridylyltransferase
R7A2020_03500,R7A2020_03500,0,738630,739529,-1,17,0.0065359477124183,900,5,SDR family oxidoreductase
R7A2020_03765,R7A2020_03765,0,784752,785108,-1,18,0.00655737704918033,357,2,pseudogene
R7A2020_03810,R7A2020_03810,0,794958,795134,-1,3,0.00657894736842105,177,1,hypothetical protein
R7A2020_03905,R7A2020_03905,0,812791,813132,1,39,0.00687285223367698,342,2,hypothetical protein
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,37,0.00712250712250712,825,5,YmdB family metallophosphoesterase
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,2,0.0065359477124183,180,1,YdcH family protein
R7A2020_06845,R7A2020_06845,0,1395506,1396837,1,37,0.00706090026478376,1332,8,sugar ABC transporter permease
R7A2020_06895,R7A2020_06895,0,1403574,1404125,1,18,0.00638297872340425,552,3,RNA polymerase sigma factor
R7A2020_07715,R7A2020_07715,0,1572271,1573851,-1,47,0.00669642857142857,1581,9,iron ABC transporter permease
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,9,0.00705467372134039,666,4,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,46,0.00673924313115604,2268,13,penicillin-binding protein
R7A2020_09170,R7A2020_09170,0,1876039,1876611,-1,12,0.00614754098360656,573,3,recombinase family protein
R7A2020_10645,R7A2020_10645,0,2184347,2186026,-1,47,0.00630252100840336,1680,9,formate--tetrahydrofolate ligase
R7A2020_10850,R7A2020_10850,0,2225986,2227287,1,102,0.00722673893405601,1302,8,cytochrome b
R7A2020_10855,R7A2020_10855,0,2227315,2228172,1,54,0.00683994528043776,858,5,cytochrome c1
R7A2020_10990,R7A2020_10990,0,2250173,2250532,1,4,0.0065359477124183,360,2,tRNA-binding protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,9,0.0065359477124183,900,5,hypothetical protein
R7A2020_12165,R7A2020_12165,0,2490377,2491276,-1,13,0.0065359477124183,900,5,hypothetical protein
R7A2020_12170,R7A2020_12170,0,2491305,2492411,-1,19,0.00636942675159236,1107,6,DUF4150 domain-containing protein
R7A2020_12540,R7A2020_12540,0,2579764,2580087,1,14,0.0072463768115942,324,2,helix-turn-helix transcriptional regulator
R7A2020_12640,R7A2020_12640,0,2595782,2595940,1,6,0.0072992700729927,159,1,hypothetical protein
R7A2020_14700,R7A2020_14700,0,2984907,2985455,1,16,0.00641025641025641,549,3,gluconokinase
R7A2020_15415,R7A2020_15415,0,3149897,3150082,-1,1,0.00628930817610063,186,1,hypothetical protein
R7A2020_15610,miaA,0,3182932,3183897,1,28,0.0072992700729927,966,6,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
R7A2020_16365,R7A2020_16365,0,3343047,3343232,-1,1,0.00628930817610063,186,1,hypothetical protein
R7A2020_17015,tatB,0,3480957,3481739,1,6,0.00600600600600601,783,4,twin-arginine translocase subunit TatB
R7A2020_17520,gcvT,0,3589483,3590583,-1,13,0.00747863247863248,1101,7,glycine cleavage system aminomethyltransferase GcvT
R7A2020_17865,R7A2020_17865,0,3675765,3676085,1,7,0.00732600732600733,321,2,(2Fe-2S)-binding protein
R7A2020_20625,recA,0,4211579,4212676,-1,102,0.00748663101604278,1098,7,recombinase RecA
R7A2020_20895,R7A2020_20895,0,4266745,4267131,1,29,0.00606060606060606,387,2,transposase
R7A2020_20910,R7A2020_20910,0,4269828,4270340,-1,17,0.0068649885583524,513,3,hypothetical protein
R7A2020_21290,R7A2020_21290,0,4343971,4344510,-1,21,0.0065359477124183,540,3,MerR family transcriptional regulator
R7A2020_22955,R7A2020_22955,0,4653195,4653368,-1,1,0.00671140939597315,174,1,hypothetical protein
R7A2020_23255,mltG,0,4709673,4710953,-1,64,0.00734618916437098,1281,8,endolytic transglycosylase MltG
R7A2020_23575,R7A2020_23575,0,4772051,4773157,-1,114,0.00743099787685775,1107,7,GNAT family N-acetyltransferase
R7A2020_24315,glgA,0,4932234,4933679,-1,61,0.00731707317073171,1446,9,glycogen synthase GlgA
R7A2020_24715,R7A2020_24715,0,5022557,5022721,-1,17,0.00709219858156028,165,1,hypothetical protein
R7A2020_24720,R7A2020_24720,0,5022718,5023662,-1,67,0.00746268656716418,945,6,protoheme IX farnesyltransferase
R7A2020_24810,bluB,0,5041240,5042178,1,14,0.00625,939,5,5,6-dimethylbenzimidazole synthase
R7A2020_27080,R7A2020_27080,0,5522635,5523123,1,29,0.00719424460431655,489,3,helix-turn-helix transcriptional regulator
R7A2020_27175,cyoC,0,5539532,5540158,-1,15,0.00749063670411985,627,4,cytochrome o ubiquinol oxidase subunit III
R7A2020_27995,R7A2020_27995,0,5731405,5731743,1,48,0.00689655172413793,339,2,DUF779 domain-containing protein
R7A2020_28010,R7A2020_28010,0,5733861,5734589,1,14,0.00644122383252818,729,4,Crp/Fnr family transcriptional regulator
R7A2020_28285,R7A2020_28285,0,5787948,5791994,1,176,0.00668410345829701,4047,23,PAS domain S-box protein
R7A2020_28660,R7A2020_28660,0,5880525,5880995,1,32,0.00748129675810474,471,3,low molecular weight phosphatase family protein
R7A2020_31095,hemA,0,6427215,6428492,1,62,0.00643382352941176,1278,7,5-aminolevulinate synthase
