# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_4r9h9oe9/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_4r9h9oe9 -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_4r9h9oe9
# time: Thu Jan 21 23:59:59 2021
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
R7A2020_00005	266835.14025403	1.6e-288	998.0	Phyllobacteriaceae	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837		ko:K02313	ko02020,ko04112,map02020,map04112				ko00000,ko00001,ko03032,ko03036				Bacteria	1MU5H@1224,2TT03@28211,43JBI@69277,COG0593@1,COG0593@2	NA|NA|NA	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
R7A2020_00010	1040983.AXAE01000024_gene3856	3.6e-202	710.7	Phyllobacteriaceae	dnaN		2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400				Bacteria	1MVD9@1224,2TSRZ@28211,43H4D@69277,COG0592@1,COG0592@2	NA|NA|NA	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria
R7A2020_00015	266835.14025401	1.8e-209	734.9	Phyllobacteriaceae	recF	GO:0000731,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576		ko:K03629,ko:K07459	ko03440,map03440				ko00000,ko00001,ko03400				Bacteria	1MX8N@1224,2TQRD@28211,43I96@69277,COG1195@1,COG1195@2	NA|NA|NA	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP
R7A2020_00020	266835.14025400	2e-132	478.4	Phyllobacteriaceae	moeB		2.7.7.80	ko:K21029	ko04122,map04122		R07459	RC00043	ko00000,ko00001,ko01000			iIT341.HP0814	Bacteria	1MW7H@1224,2TRWY@28211,43I17@69277,COG0476@1,COG0476@2	NA|NA|NA	H	involved in molybdopterin and thiamine biosynthesis family 2
R7A2020_00025	266835.14025399	1.1e-83	315.8	Phyllobacteriaceae													Bacteria	1N1SU@1224,2UA9R@28211,43KA0@69277,COG0454@1,COG0456@2	NA|NA|NA	K	Acetyltransferase (GNAT) domain
R7A2020_00030	266835.14025397	3.6e-185	654.1	Phyllobacteriaceae	gyaR	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	1.1.1.26	ko:K00015	ko00630,ko01100,ko01110,ko01120,map00630,map01100,map01110,map01120		R00717,R01388	RC00031,RC00042	ko00000,ko00001,ko01000				Bacteria	1MU2D@1224,2TSM8@28211,43HJE@69277,COG1052@1,COG1052@2	NA|NA|NA	CH	D-isomer specific 2-hydroxyacid dehydrogenase
R7A2020_00035	266835.14025396	2.4e-101	374.8	Phyllobacteriaceae	MA20_24010		3.2.1.96,3.4.17.14,3.5.1.28	ko:K01227,ko:K01447,ko:K01448,ko:K06385,ko:K07260,ko:K11060,ko:K11062	ko00511,ko00550,ko01100,ko01502,ko01503,ko02020,map00511,map00550,map01100,map01502,map01503,map02020	M00651,M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01002,ko01011,ko01504,ko02042,ko03036				Bacteria	1RHM2@1224,2UA1R@28211,43JN7@69277,COG3807@1,COG3807@2	NA|NA|NA	S	Bacterial SH3 domain
R7A2020_00040	266835.14025395	1.1e-62	245.7	Phyllobacteriaceae													Bacteria	1N037@1224,2CWCM@1,2UCWU@28211,32SZF@2,43M44@69277	NA|NA|NA	S	Domain of unknown function (DUF4260)
R7A2020_00045	266835.14025394	1.4e-74	285.4	Phyllobacteriaceae	fur			ko:K03711,ko:K09825,ko:K09826					ko00000,ko03000				Bacteria	1RH58@1224,2U75R@28211,43JNK@69277,COG0735@1,COG0735@2	NA|NA|NA	K	Belongs to the Fur family
R7A2020_00050	266835.14025393	6.5e-98	363.2	Phyllobacteriaceae	fabA		4.2.1.59,5.3.3.14	ko:K01716	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00083	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07639	RC00831,RC01078,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004				Bacteria	1MWV8@1224,2TV8S@28211,43IT2@69277,COG0764@1,COG0764@2	NA|NA|NA	I	Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length
