locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,15,0.00840336134453781,420,3,helix-turn-helix transcriptional regulator
R7A2020_00835,R7A2020_00835,0,180463,182055,-1,226,0.00959409594095941,1593,13,peptide chain release factor 3
R7A2020_03295,pyrF,0,696530,697243,1,220,0.00822368421052632,714,5,orotidine-5'-phosphate decarboxylase
R7A2020_03360,gshB,0,709147,710088,1,37,0.00873907615480649,942,7,glutathione synthase
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,107,0.00840336134453781,558,4,hypothetical protein
R7A2020_03765,R7A2020_03765,0,784752,785108,-1,30,0.00983606557377049,357,3,pseudogene
R7A2020_04610,R7A2020_04610,0,958238,959044,-1,38,0.0101892285298399,807,7,DUF1223 domain-containing protein
R7A2020_04670,R7A2020_04670,0,968771,969445,-1,222,0.00869565217391304,675,5,septation protein A
R7A2020_05560,R7A2020_05560,0,1146249,1146911,-1,83,0.00886524822695036,663,5,YggS family pyridoxal phosphate-dependent enzyme
R7A2020_06570,mtgA,0,1347665,1348426,1,102,0.00925925925925926,762,6,monofunctional biosynthetic peptidoglycan transglycosylase
R7A2020_06795,R7A2020_06795,0,1382339,1382698,-1,87,0.00980392156862745,360,3,hypothetical protein
R7A2020_07605,R7A2020_07605,0,1549164,1549889,-1,21,0.00970873786407767,726,6,YdcF family protein
R7A2020_07975,R7A2020_07975,0,1623082,1624038,1,193,0.0098159509202454,957,8,DUF4167 domain-containing protein
R7A2020_08500,R7A2020_08500,0,1735877,1736584,-1,146,0.00995024875621891,708,6,hypothetical protein
R7A2020_08515,R7A2020_08515,0,1739526,1739930,1,18,0.00869565217391304,405,3,transcriptional repressor
R7A2020_08545,R7A2020_08545,0,1746285,1746431,1,1,0.00793650793650794,147,1,hypothetical protein
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,139,0.00995024875621891,1182,10,ABC transporter permease
R7A2020_08640,R7A2020_08640,0,1773300,1775198,-1,125,0.0099009900990099,1899,16,ABC transporter substrate-binding protein
R7A2020_08675,R7A2020_08675,0,1783408,1784262,-1,16,0.00961538461538462,855,7,MBL fold metallo-hydrolase
R7A2020_08710,R7A2020_08710,0,1792858,1792977,1,22,0.00980392156862745,120,1,pseudogene
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,45,0.00881834215167548,666,5,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,317,0.00829445308449974,2268,16,penicillin-binding protein
R7A2020_09145,R7A2020_09145,0,1872295,1873005,-1,34,0.00991735537190083,711,6,hypothetical protein
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,15,0.00798403193612774,588,4,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,26,0.00915750915750916,642,5,hypothetical protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,163,0.0101966496722505,1614,14,hypothetical protein
R7A2020_10595,R7A2020_10595,0,2173283,2174230,-1,202,0.00991325898389095,948,8,cation transporter
R7A2020_10915,R7A2020_10915,0,2237500,2238411,-1,87,0.00902061855670103,912,7,hypothetical protein
