locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
R7A2020_00005	dnaA	0	1	1545	1	0	0	1545	0	"chromosomal replication initiator protein DnaA"
R7A2020_00010	R7A2020_00010	0	1851	2969	1	0	0	1119	0	"DNA polymerase III subunit beta"
R7A2020_00015	recF	0	3053	4192	1	2435	0.0546955624355005	1140	53	"DNA replication/repair protein RecF"
R7A2020_00020	R7A2020_00020	0	4224	4976	1	2018	0.0436817472698908	753	28	"molybdopterin-synthase adenylyltransferase MoeB"
R7A2020_00025	R7A2020_00025	0	4991	5467	1	1522	0.0638820638820639	477	26	"GNAT family N-acetyltransferase"
R7A2020_00030	R7A2020_00030	0	5518	6519	-1	1935	0.0528169014084507	1002	45	"D-glycerate dehydrogenase"
R7A2020_00035	R7A2020_00035	0	6668	7228	1	0	0	561	0	"hypothetical protein"
R7A2020_00040	R7A2020_00040	0	7218	7607	-1	439	0.0512048192771084	390	17	"DUF4260 domain-containing protein"
R7A2020_00045	R7A2020_00045	0	7664	8095	-1	259	0.0271739130434783	432	10	"transcriptional repressor"
R7A2020_00050	fabA	0	8338	8853	1	0	0	516	0	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA"
R7A2020_00055	fabB	0	8903	10123	1	0	0	1221	0	"beta-ketoacyl-ACP synthase I"
R7A2020_00060	fabI	0	10155	10958	1	958	0.0321637426900585	804	22	"enoyl-ACP reductase FabI"
R7A2020_00065	R7A2020_00065	0	11114	12658	1	4951	0.0593607305936073	1545	78	"bifunctional diguanylate cyclase/phosphodiesterase"
R7A2020_00070	R7A2020_00070	0	12664	13674	-1	3874	0.0627906976744186	1011	54	"class I SAM-dependent methyltransferase"
R7A2020_00075	pnp	0	13800	15947	-1	0	0	2148	0	"polyribonucleotide nucleotidyltransferase"
R7A2020_00080	rpsO	0	16357	16626	-1	49	0.00434782608695652	270	1	"30S ribosomal protein S15"
R7A2020_00085	corA	0	16808	17902	-1	3943	0.0568669527896996	1095	53	"magnesium/cobalt transporter CorA"
R7A2020_00090	truB	0	17947	18924	-1	2325	0.0468187274909964	978	39	"tRNA pseudouridine(55) synthase TruB"
R7A2020_00095	rbfA	0	18924	19379	-1	827	0.038560411311054	456	15	"30S ribosome-binding factor RbfA"
R7A2020_00100	infB	0	19554	22136	-1	0	0	2583	0	"translation initiation factor IF-2"
R7A2020_00105	R7A2020_00105	0	22133	22783	-1	228	0.00541516245487365	651	3	"RNA-binding protein"
R7A2020_00110	nusA	0	22822	24417	-1	639	0.00515463917525773	1596	7	"transcription termination/antitermination protein NusA"
R7A2020_00115	rimP	0	24467	25114	-1	60	0.00543478260869565	648	3	"ribosome maturation factor RimP"
R7A2020_00120	R7A2020_00120	0	25401	25565	1	152	0.0354609929078014	165	5	"hypothetical protein"
R7A2020_00125	trmB	0	25589	26290	-1	1964	0.0569514237855946	702	34	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
R7A2020_00130	R7A2020_00130	0	26316	27581	-1	0	0	1266	0	"methionine adenosyltransferase"
R7A2020_00135	R7A2020_00135	0	27750	28169	-1	204	0.0168067226890756	420	6	"helix-turn-helix transcriptional regulator"
R7A2020_00140	lnt	0	28308	29900	-1	1525	0.0250922509225092	1593	34	"apolipoprotein N-acyltransferase"
R7A2020_00145	R7A2020_00145	0	30081	31025	-1	3253	0.0671641791044776	945	54	"LysR family transcriptional regulator"
R7A2020_00150	R7A2020_00150	0	31126	31887	1	3566	0.0771604938271605	762	50	"SDR family oxidoreductase"
R7A2020_00155	R7A2020_00155	0	31913	32383	-1	1310	0.0698254364089776	471	28	glyoxalase
R7A2020_00160	R7A2020_00160	0	32397	33473	-1	3971	0.0665212649945474	1077	61	"HlyC/CorC family transporter"
R7A2020_00165	ybeY	0	33501	34001	-1	6	0.00234741784037559	501	1	"rRNA maturation RNase YbeY"
R7A2020_00170	R7A2020_00170	0	34020	35069	-1	3441	0.0739081746920493	1050	66	"PhoH family protein"
R7A2020_00175	miaB	0	35096	36505	-1	4318	0.0658882402001668	1410	79	"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB"
R7A2020_00180	R7A2020_00180	0	36582	37382	-1	2740	0.052863436123348	801	36	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
R7A2020_00185	rimI	0	37410	37904	-1	492	0.023696682464455	495	10	"ribosomal protein S18-alanine N-acetyltransferase"
R7A2020_00190	tsaB	0	37904	38581	-1	0	0	678	0	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
R7A2020_00195	R7A2020_00195	0	38678	39781	-1	2905	0.0543130990415335	1104	51	"DUF1513 domain-containing protein"
R7A2020_00200	R7A2020_00200	0	39784	40863	-1	2820	0.0413943355119826	1080	38	"peptidase M75, Imelysin"
R7A2020_00205	R7A2020_00205	0	40863	42464	-1	3456	0.0491923641703377	1602	67	"c-type cytochrome"
R7A2020_00210	bfr	0	42477	42962	-1	924	0.0603864734299517	486	25	bacterioferritin
R7A2020_00215	R7A2020_00215	0	42928	43239	-1	816	0.0639097744360902	312	17	"(2Fe-2S)-binding protein"
R7A2020_00220	R7A2020_00220	0	43352	44641	-1	1759	0.04102096627165	1290	45	peptidase
R7A2020_00225	R7A2020_00225	0	45077	46330	1	0	0	1254	0	"FAD-dependent oxidoreductase"
R7A2020_00230	R7A2020_00230	0	46435	47712	-1	4970	0.0900735294117647	1278	98	"4-aminobutyrate--2-oxoglutarate transaminase"
R7A2020_00235	R7A2020_00235	0	47950	49089	1	3862	0.0691434468524252	1140	67	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00240	R7A2020_00240	0	49086	50156	1	3744	0.0812294182217344	1071	74	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00245	R7A2020_00245	0	50153	53212	1	14477	0.0761245674740484	3060	198	"efflux RND transporter permease subunit"
R7A2020_00250	R7A2020_00250	0	53287	54033	-1	817	0.0330188679245283	747	21	"ABC transporter ATP-binding protein"
R7A2020_00255	R7A2020_00255	0	54030	54866	-1	2682	0.0645161290322581	837	46	"ABC transporter ATP-binding protein"
R7A2020_00260	R7A2020_00260	0	54863	55783	-1	2680	0.0600255427841635	921	47	"ABC transporter permease"
R7A2020_00265	R7A2020_00265	0	55780	56841	-1	2623	0.0642303433001107	1062	58	"ABC transporter permease"
R7A2020_00270	R7A2020_00270	0	56860	58503	-1	3585	0.061516452074392	1644	86	"ABC transporter substrate-binding protein"
R7A2020_00275	R7A2020_00275	0	58765	60012	-1	2800	0.0555555555555556	1248	59	"lytic murein transglycosylase"
R7A2020_00280	recR	0	60033	60638	-1	1826	0.0852713178294574	606	44	"recombination protein RecR"
R7A2020_00285	R7A2020_00285	0	60730	61731	-1	2903	0.0692488262910798	1002	59	"cell wall hydrolase"
R7A2020_00290	R7A2020_00290	0	61961	62368	-1	345	0.0258620689655172	408	9	"hypothetical protein"
