locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,0,0,651,0,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,0,0,1596,0,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,0,0,648,0,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,0,0,165,0,hypothetical protein
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
R7A2020_00330,R7A2020_00330,0,67622,68350,-1,0,0,729,0,3-deoxy-manno-octulosonate cytidylyltransferase
R7A2020_00400,R7A2020_00400,0,84193,84268,1,0,0,76,0,
R7A2020_00425,R7A2020_00425,0,86399,86854,1,0,0,456,0,periplasmic heavy metal sensor
R7A2020_00705,R7A2020_00705,0,153421,153735,1,0,0,315,0,hypothetical protein
R7A2020_00865,R7A2020_00865,0,187212,187460,-1,0,0,249,0,hypothetical protein
R7A2020_00875,dut,0,188141,188626,1,0,0,486,0,dUTP diphosphatase
R7A2020_00955,murJ,0,209750,211330,1,0,0,1581,0,murein biosynthesis integral membrane protein MurJ
R7A2020_00970,trpS,0,213480,214547,1,0,0,1068,0,tryptophan--tRNA ligase
R7A2020_00990,cueR,0,217176,217598,1,0,0,423,0,Cu(I)-responsive transcriptional regulator
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,0,0,174,0,hypothetical protein
R7A2020_01060,R7A2020_01060,0,231125,231325,1,0,0,201,0,hypothetical protein
R7A2020_01090,R7A2020_01090,0,236241,236543,1,0,0,303,0,HPr family phosphocarrier protein
R7A2020_01150,R7A2020_01150,0,248281,250668,-1,0,0,2388,0,polysaccharide biosynthesis tyrosine autokinase
R7A2020_01175,R7A2020_01175,0,254838,256010,-1,0,0,1173,0,glycosyltransferase family 4 protein
R7A2020_01180,R7A2020_01180,0,256198,257694,1,0,0,1497,0,lipopolysaccharide biosynthesis protein
R7A2020_01190,R7A2020_01190,0,258794,259873,-1,0,0,1080,0,glycosyltransferase family 4 protein
R7A2020_01230,R7A2020_01230,0,267742,267894,1,0,0,153,0,lasso peptide
R7A2020_01260,R7A2020_01260,0,273619,273894,-1,0,0,276,0,exopolysaccharide production repressor exox
R7A2020_01270,R7A2020_01270,0,275257,276516,1,0,0,1260,0,sugar ABC transporter substrate-binding protein
R7A2020_01275,R7A2020_01275,0,276831,278144,-1,0,0,1314,0,O-antigen ligase family protein
R7A2020_01415,R7A2020_01415,0,310676,310751,-1,0,0,76,0,
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,0,0,387,0,TIGR02300 family protein
R7A2020_01425,aroA,0,311517,312875,1,0,0,1359,0,3-phosphoshikimate 1-carboxyvinyltransferase
R7A2020_01435,rpsA,0,313815,315512,1,0,0,1698,0,30S ribosomal protein S1
R7A2020_01525,gyrB,0,335098,337569,1,0,0,2472,0,DNA topoisomerase (ATP-hydrolyzing) subunit B
R7A2020_01550,R7A2020_01550,0,342233,342457,-1,0,0,225,0,aa3-type cytochrome c oxidase subunit IV
R7A2020_01670,R7A2020_01670,0,367630,368343,-1,0,0,714,0,CDP-diacylglycerol diphosphatase
R7A2020_01885,R7A2020_01885,0,414391,414594,-1,0,0,204,0,DUF680 domain-containing protein
R7A2020_01915,R7A2020_01915,0,421062,421763,1,0,0,702,0,response regulator transcription factor
R7A2020_01920,R7A2020_01920,0,421863,423647,1,0,0,1785,0,HAMP domain-containing protein
R7A2020_01930,R7A2020_01930,0,424352,424753,1,0,0,402,0,PTS sugar transporter subunit IIA
R7A2020_01935,R7A2020_01935,0,424750,425046,1,0,0,297,0,HPr family phosphocarrier protein
R7A2020_01940,R7A2020_01940,0,425222,426622,1,0,0,1401,0,adenosylhomocysteinase
R7A2020_01945,R7A2020_01945,0,426822,429377,1,0,0,2556,0,PAS domain-containing protein
R7A2020_01970,trxA,0,438340,438663,1,0,0,324,0,thioredoxin
R7A2020_01980,R7A2020_01980,0,439306,439553,1,0,0,248,0,pseudogene
R7A2020_01990,R7A2020_01990,0,439975,440394,-1,0,0,420,0,VOC family protein
R7A2020_01995,R7A2020_01995,0,440425,441750,-1,0,0,1326,0,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
R7A2020_02000,R7A2020_02000,0,441871,442797,-1,0,0,927,0,acetyl-CoA carboxylase carboxyltransferase subunit beta
R7A2020_02005,R7A2020_02005,0,442846,443685,-1,0,0,840,0,tryptophan synthase subunit alpha
R7A2020_02010,trpB,0,443748,444998,-1,0,0,1251,0,tryptophan synthase subunit beta
R7A2020_02020,R7A2020_02020,0,445871,446089,1,0,0,219,0,hypothetical protein
R7A2020_02045,R7A2020_02045,0,449702,450238,1,0,0,537,0,translation initiation factor IF-3
R7A2020_02055,rpmI,0,451269,451472,1,0,0,204,0,50S ribosomal protein L35
R7A2020_02065,pheS,0,452112,453209,1,0,0,1098,0,phenylalanine--tRNA ligase subunit alpha
R7A2020_02155,R7A2020_02155,0,471970,472173,-1,0,0,204,0,hypothetical protein
R7A2020_02215,R7A2020_02215,0,483520,484479,-1,0,0,960,0,type I pantothenate kinase
R7A2020_02220,R7A2020_02220,0,484504,484827,-1,0,0,324,0,phosphoribosyl-ATP diphosphatase
R7A2020_02435,R7A2020_02435,0,525112,525188,-1,0,0,77,0,
R7A2020_02480,R7A2020_02480,0,534149,534403,-1,0,0,255,0,acyl carrier protein
R7A2020_02570,R7A2020_02570,0,546283,546468,-1,0,0,186,0,hypothetical protein
R7A2020_02700,R7A2020_02700,0,573098,573280,1,0,0,183,0,pseudogene
R7A2020_02835,R7A2020_02835,0,600522,601052,1,0,0,531,0,peptide deformylase
