locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,619,0.04437564499484,1140,43,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,479,0.0436817472698908,753,28,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,1184,0.0884520884520884,477,36,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,2262,0.0575117370892019,1002,49,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,406,0.0451807228915663,390,15,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,187,0.0217391304347826,432,8,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,524,0.0277777777777778,804,19,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,3236,0.0525114155251142,1545,69,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,1159,0.05,1011,43,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,988,0.0343347639484979,1095,32,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,1292,0.0336134453781513,978,28,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,213,0.0334190231362468,456,13,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,225,0.0108303249097473,651,6,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,561,0.00810014727540501,1596,11,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,1,0.00181159420289855,648,1,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,112,0.0354609929078014,165,5,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,660,0.050251256281407,702,30,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,129,0.0168067226890756,420,6,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,607,0.025830258302583,1593,35,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,1255,0.054726368159204,945,44,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,1266,0.0679012345679012,762,44,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,429,0.0523690773067332,471,21,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,2134,0.0654307524536532,1077,60,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,7,0.00469483568075117,501,2,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,1960,0.0683090705487122,1050,61,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,1404,0.0442035029190992,1410,53,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,888,0.0425844346549192,801,29,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,428,0.037914691943128,495,16,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,2501,0.0543130990415335,1104,51,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,1257,0.0457516339869281,1080,42,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,1045,0.0293685756240822,1602,40,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,248,0.0386473429951691,486,16,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,551,0.0413533834586466,312,11,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,1020,0.03281677301732,1290,36,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,2,0.000937207122774133,1254,1,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,2617,0.0597426470588235,1278,65,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,2960,0.0536635706914345,1140,52,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,2539,0.0768386388583974,1071,70,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,4367,0.0668973471741638,3060,174,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,1433,0.0518867924528302,747,33,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,1892,0.0729312762973352,837,52,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,777,0.0421455938697318,921,33,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,972,0.0498338870431894,1062,45,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,3372,0.0436337625178827,1644,61,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,1001,0.044256120527307,1248,47,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,647,0.0484496124031008,606,25,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,2202,0.0563380281690141,1002,48,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,512,0.0517241379310345,408,18,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,672,0.0905797101449275,324,25,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
