locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00355,R7A2020_00355,0,74233,75378,1,590,0.0164102564102564,1146,16,ABC transporter permease
R7A2020_01220,R7A2020_01220,0,265014,266036,-1,467,0.0160919540229885,1023,14,glycosyltransferase family 2 protein
R7A2020_01560,R7A2020_01560,0,343546,343695,-1,7,0.015625,150,2,DUF3096 domain-containing protein
R7A2020_02060,rplT,0,451560,451961,1,1575,0.0146198830409357,402,5,50S ribosomal protein L20
R7A2020_02435,R7A2020_02435,0,525112,525188,-1,6,0.0149253731343284,77,1,
R7A2020_02850,truA,0,602637,603383,1,160,0.0141509433962264,747,9,tRNA pseudouridine(38-40) synthase TruA
R7A2020_03475,R7A2020_03475,0,732693,733313,-1,236,0.0132575757575758,621,7,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
R7A2020_04975,R7A2020_04975,0,1026293,1026751,-1,449,0.0153061224489796,459,6,Crp/Fnr family transcriptional regulator
R7A2020_06420,pyk,0,1322920,1324356,1,1175,0.0130825838103025,1437,16,pyruvate kinase
R7A2020_06455,purE,0,1328726,1329223,-1,137,0.0164705882352941,498,7,5-(carboxyamino)imidazole ribonucleotide mutase
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,765,0.0142671854734112,906,11,anti-sigma factor
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,453,0.0152582159624413,1002,13,DUF4034 domain-containing protein
R7A2020_07190,R7A2020_07190,0,1468235,1468386,-1,61,0.0153846153846154,152,2,pseudogene
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,241,0.0128205128205128,642,7,hypothetical protein
R7A2020_07810,R7A2020_07810,0,1590040,1590124,1,6,0.0136986301369863,85,1,
R7A2020_08020,R7A2020_08020,0,1635833,1635909,1,13,0.0149253731343284,77,1,
R7A2020_08025,R7A2020_08025,0,1635960,1636035,1,31,0.0151515151515152,76,1,
R7A2020_08055,R7A2020_08055,0,1641568,1643056,1,207,0.0142067876874507,1489,18,
R7A2020_08060,R7A2020_08060,0,1643343,1643419,1,12,0.0149253731343284,77,1,
R7A2020_08065,R7A2020_08065,0,1643470,1643545,1,34,0.0151515151515152,76,1,
R7A2020_08420,R7A2020_08420,0,1713672,1714190,1,85,0.0135440180586907,519,6,YcnI family protein
R7A2020_08520,polA,0,1740114,1743077,-1,2203,0.0134920634920635,2964,34,DNA polymerase I
R7A2020_08545,R7A2020_08545,0,1746285,1746431,1,6,0.0158730158730159,147,2,hypothetical protein
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,729,0.0159203980099502,1182,16,ABC transporter permease
R7A2020_08635,R7A2020_08635,0,1772299,1773297,-1,514,0.0152761457109283,999,13,ABC transporter permease
R7A2020_09575,hisN,0,1956834,1957607,1,530,0.0151745068285281,774,10,histidinol-phosphatase
R7A2020_09670,R7A2020_09670,0,1982680,1983057,-1,62,0.0154798761609907,378,5,hypothetical protein
R7A2020_10385,R7A2020_10385,0,2136007,2136171,-1,10,0.0141843971631206,165,2,hypothetical protein
R7A2020_10595,R7A2020_10595,0,2173283,2174230,-1,727,0.0161090458488228,948,13,cation transporter
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,646,0.0146341463414634,723,9,aminoacyl-tRNA hydrolase
R7A2020_10960,pgeF,0,2245595,2246389,-1,659,0.0162481536189069,795,11,peptidoglycan editing factor PgeF
R7A2020_11040,R7A2020_11040,0,2259073,2259285,-1,105,0.0164835164835165,213,3,cold-shock protein
R7A2020_11400,rfaE1,0,2328759,2330249,1,1326,0.0157728706624606,1491,20,D-glycero-beta-D-manno-heptose-7-phosphate kinase
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,129,0.0143790849673203,900,11,hypothetical protein
R7A2020_11805,R7A2020_11805,0,2411029,2411196,-1,58,0.0138888888888889,168,2,pseudogene
R7A2020_11945,R7A2020_11945,0,2438597,2439472,1,601,0.0134048257372654,876,10,serine protease
R7A2020_11980,R7A2020_11980,0,2446362,2446437,1,7,0.0151515151515152,76,1,
R7A2020_11985,R7A2020_11985,0,2446766,2447014,-1,13,0.0140845070422535,249,3,DUF982 domain-containing protein
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,178,0.0137741046831956,426,5,hypothetical protein
R7A2020_12180,R7A2020_12180,0,2493430,2494533,-1,550,0.0149094781682641,1104,14,DUF2169 domain-containing protein
R7A2020_12185,tagF,0,2494533,2495075,-1,107,0.012987012987013,543,6,type VI secretion system-associated protein TagF
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,270,0.0140433001755413,2010,24,AAA family ATPase
R7A2020_12810,R7A2020_12810,0,2623604,2624494,-1,198,0.0145118733509235,891,11,LysR family transcriptional regulator
R7A2020_12820,R7A2020_12820,0,2625534,2626124,1,351,0.0139165009940358,591,7,NADPH-dependent F420 reductase
