locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00165,ybeY,0,33501,34001,-1,551,0.0117370892018779,501,5,rRNA maturation RNase YbeY
R7A2020_00325,R7A2020_00325,0,66722,67585,-1,713,0.0108843537414966,864,8,prephenate dehydratase
R7A2020_02020,R7A2020_02020,0,445871,446089,1,94,0.0106382978723404,219,2,hypothetical protein
R7A2020_04485,R7A2020_04485,0,936131,936928,1,1548,0.0102941176470588,798,7,murein transglycosylase
R7A2020_06160,ybgF,0,1262592,1263704,1,828,0.0116156282998944,1113,11,tol-pal system protein YbgF
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,17,0.0114942528735632,204,2,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,550,0.00938967136150235,1002,8,DUF4034 domain-containing protein
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,41,0.0111111111111111,105,1,pseudogene
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,242,0.010230179028133,918,8,polyprenyl synthetase family protein
R7A2020_06900,R7A2020_06900,0,1404159,1404608,-1,176,0.010443864229765,450,4,response regulator
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,317,0.010989010989011,642,6,hypothetical protein
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,21,0.0114942528735632,204,2,hypothetical protein
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,1058,0.0109452736318408,1182,11,ABC transporter permease
R7A2020_08710,R7A2020_08710,0,1792858,1792977,1,15,0.00980392156862745,120,1,pseudogene
R7A2020_08725,R7A2020_08725,0,1796879,1797373,1,376,0.00947867298578199,495,4,GTP-binding protein
R7A2020_09210,R7A2020_09210,0,1883833,1884069,-1,92,0.00985221674876847,237,2,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,177,0.010989010989011,642,6,hypothetical protein
R7A2020_10600,R7A2020_10600,0,2174236,2176425,-1,1024,0.00966702470461869,2190,18,anthranilate synthase
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,1428,0.00931098696461825,1263,10,CCA tRNA nucleotidyltransferase
R7A2020_11405,R7A2020_11405,0,2330257,2330829,1,422,0.0102459016393443,573,5,SIS domain-containing protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,599,0.0115340253748558,1020,10,YihY/virulence factor BrkB family protein
