locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,3667,0.162022703818369,1140,157,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,2364,0.190327613104524,753,122,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,1448,0.206388206388206,477,84,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,3377,0.18075117370892,1002,154,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,1304,0.183734939759036,390,61,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,370,0.108695652173913,432,40,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,1,0.000963391136801541,1221,1,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,1806,0.165204678362573,804,113,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,4189,0.15220700152207,1545,200,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,3642,0.165116279069767,1011,142,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,18,0.00437876299945265,2148,8,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,11,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,3229,0.167381974248927,1095,156,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,2725,0.123649459783914,978,103,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,1167,0.131105398457584,456,51,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,18,0.000910746812386157,2583,2,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,188,0.0216606498194946,651,12,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,820,0.0154639175257732,1596,21,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,352,0.0235507246376812,648,13,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,200,0.106382978723404,165,15,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,2343,0.175879396984925,702,105,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,3,0.00185701021355617,1266,2,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,296,0.0784313725490196,420,28,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,2069,0.105535055350554,1593,143,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,3852,0.195273631840796,945,157,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,4403,0.209876543209877,762,136,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,1636,0.177057356608479,471,71,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,7754,0.23009814612868,1077,211,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,408,0.0774647887323944,501,33,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,4399,0.198208286674132,1050,177,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,7949,0.211843202668891,1410,254,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,1828,0.177679882525697,801,121,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,2141,0.191943127962085,495,81,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,3,0.00346020761245675,678,2,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,3245,0.152289669861555,1104,143,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,2941,0.163398692810458,1080,150,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,3724,0.149779735682819,1602,204,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,1154,0.169082125603865,486,70,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,737,0.139097744360902,312,37,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,3408,0.141294439380128,1290,155,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,480,0.0337394564198688,1254,36,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,5471,0.201286764705882,1278,219,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,4148,0.192982456140351,1140,187,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,5772,0.234906695938529,1071,214,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,13408,0.201460976547482,3060,524,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,2587,0.169811320754717,747,108,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,3486,0.187938288920056,837,134,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,3190,0.174968071519796,921,137,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,3996,0.196013289036545,1062,177,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,4712,0.165951359084406,1644,232,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,2550,0.142184557438795,1248,151,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,2429,0.218992248062016,606,113,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,3281,0.17018779342723,1002,145,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,943,0.158045977011494,408,55,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,1665,0.221014492753623,324,61,YbaB/EbfC family nucleoid-associated protein
